"PointID","x","y","Pressure","Velocity_x","Velocity_y","Sound speed","Enthalpy","Turb_Kin_Energy","Omega","Species_0"
48, 1.374999999999659e-02, 0.000000000000000e+00, 1.316272818207668e+01, 5.337880606230000e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391121140266756e+05, 1.342635862297491e+00, 4.199423766637442e+04, 9.984255425440041e-01
49, 1.437499999999830e-02, 0.000000000000000e+00, 9.442792732122902e+00, 5.343647812316068e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391132102266979e+05, 1.287544030257565e+00, 4.040314346762592e+04, 9.982299549147950e-01
50, 1.663793103447950e-02, 0.000000000000000e+00, 1.854154940278390e+00, 5.354701220396169e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391183037060604e+05, 1.095642721646997e+00, 3.481059580088247e+04, 9.981063470120703e-01
51, 1.827586206895901e-02, 0.000000000000000e+00, 3.064826183943545e-01, 5.356815923311728e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391210646020010e+05, 1.006442004147666e+00, 3.218602192750524e+04, 9.981338686014638e-01
52, 1.991379310343851e-02, 0.000000000000000e+00, -7.753122870515619e-01, 5.358213411708426e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391235980355791e+05, 9.298664308030526e-01, 2.991916986472970e+04, 9.981756003090684e-01
53, 2.155172413791802e-02, 0.000000000000000e+00, -1.373840334561597e+00, 5.359087940246102e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391259052347284e+05, 8.634803974340135e-01, 2.794271536172257e+04, 9.982329506299386e-01
54, 2.318965517239752e-02, 0.000000000000000e+00, -1.834196468363813e+00, 5.359760616138472e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391279946555662e+05, 8.054202288578967e-01, 2.620481137589980e+04, 9.982937734832787e-01
55, 2.482758620687702e-02, 0.000000000000000e+00, -2.187042354627708e+00, 5.360279188637337e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391298767708117e+05, 7.542504230643712e-01, 2.466534700266551e+04, 9.983566506728951e-01
56, 2.646551724135653e-02, 0.000000000000000e+00, -2.460783062571752e+00, 5.360682595275602e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391315631175622e+05, 7.088425046841631e-01, 2.329263217915724e+04, 9.984200865989273e-01
57, 2.810344827583603e-02, 0.000000000000000e+00, -2.670903098486625e+00, 5.361000609906105e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391330662198944e+05, 6.682984103487319e-01, 2.206132984263198e+04, 9.984833680545363e-01
58, 2.974137931031511e-02, 0.000000000000000e+00, -2.840936373795524e+00, 5.361261779133895e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391343987460532e+05, 6.318948104895872e-01, 2.095094083189702e+04, 9.985458259871381e-01
59, 3.137931034479436e-02, 0.000000000000000e+00, -2.985352613220499e+00, 5.361478397467152e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391355724896356e+05, 5.990431271660869e-01, 1.994471408460597e+04, 9.986071024616987e-01
60, 3.301724137927399e-02, 0.000000000000000e+00, -3.104302585593853e+00, 5.361649989344205e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391365981899248e+05, 5.692598737799605e-01, 1.902883402897278e+04, 9.986672481406375e-01
61, 3.465517241375449e-02, 0.000000000000000e+00, -3.196471387515266e+00, 5.361775891212054e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391374857150532e+05, 5.421442368457573e-01, 1.819180241848602e+04, 9.987262988965249e-01
62, 3.629310344823499e-02, 0.000000000000000e+00, -3.261631264887681e+00, 5.361857672124108e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391382442956358e+05, 5.173612858175447e-01, 1.742397467200748e+04, 9.987842298863043e-01
63, 3.793103448271549e-02, 0.000000000000000e+00, -3.301413373284576e+00, 5.361899154545731e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391388826834619e+05, 4.946291051162370e-01, 1.671720332317650e+04, 9.988409523435955e-01
64, 3.956896551719599e-02, 0.000000000000000e+00, -3.318460464796216e+00, 5.361905245643048e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391394092358947e+05, 4.737088236114480e-01, 1.606456087142012e+04, 9.988963548734782e-01
65, 4.120689655167650e-02, 0.000000000000000e+00, -3.315847342635397e+00, 5.361881126258891e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391398319474595e+05, 4.543967908969510e-01, 1.546012151204233e+04, 9.989503311218727e-01
66, 4.284482758615700e-02, 0.000000000000000e+00, -3.296700516410317e+00, 5.361831647570016e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391401584084605e+05, 4.365183816652338e-01, 1.489878766962505e+04, 9.990027920526755e-01
67, 4.448275862063750e-02, 0.000000000000000e+00, -3.263713361998869e+00, 5.361760926776317e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391403957846139e+05, 4.199230546858522e-01, 1.437615121228963e+04, 9.990536799110197e-01
68, 4.612068965511801e-02, 0.000000000000000e+00, -3.219169500540967e+00, 5.361672360098037e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391405509320121e+05, 4.044803749162313e-01, 1.388838132049200e+04, 9.991029622956213e-01
69, 4.775862068959850e-02, 0.000000000000000e+00, -3.164979346185758e+00, 5.361568570548782e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391406302728264e+05, 3.900767926830258e-01, 1.343213343464891e+04, 9.991506283357396e-01
70, 4.939655172407840e-02, 0.000000000000000e+00, -3.102458679267130e+00, 5.361451350884068e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391406397735278e+05, 3.766130213019521e-01, 1.300447491669529e+04, 9.991966917364539e-01
71, 5.103448275855766e-02, 0.000000000000000e+00, -3.032526754041963e+00, 5.361321886310737e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391405849230259e+05, 3.640018819285054e-01, 1.260282376012757e+04, 9.992411819276313e-01
72, 5.267241379303617e-02, 0.000000000000000e+00, -2.955833452946054e+00, 5.361180802007002e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391404706925138e+05, 3.521665230394372e-01, 1.222489780319083e+04, 9.992841284293349e-01
73, 5.431034482751468e-02, 0.000000000000000e+00, -2.872545392557126e+00, 5.361028165874705e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391403014915414e+05, 3.410389458464064e-01, 1.186867257683727e+04, 9.993255556202224e-01
74, 5.594827586199318e-02, 0.000000000000000e+00, -2.782576122321742e+00, 5.360863842582729e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391400811074642e+05, 3.305587692727577e-01, 1.153234588074725e+04, 9.993654619935121e-01
75, 5.758620689647170e-02, 0.000000000000000e+00, -2.685829480514927e+00, 5.360687750142768e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391398125956916e+05, 3.206721906278143e-01, 1.121430787294389e+04, 9.994037852838341e-01
76, 5.922413793095020e-02, 0.000000000000000e+00, -2.582083953995416e+00, 5.360500104746399e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391394981145553e+05, 3.113311135155608e-01, 1.091311592984499e+04, 9.994403784698491e-01
77, 6.086206896542790e-02, 0.000000000000000e+00, -2.471461104280461e+00, 5.360302041184563e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391391386395411e+05, 3.024924081771614e-01, 1.062747325435012e+04, 9.994749766034965e-01
78, 6.249999999990495e-02, 0.000000000000000e+00, -2.355097061687298e+00, 5.360095692186691e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391387333890316e+05, 2.941172793795139e-01, 1.035621050045518e+04, 9.995071429052035e-01
79, 6.413793103438147e-02, 0.000000000000000e+00, -2.234882919037703e+00, 5.359882959906997e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391382787523031e+05, 2.861707217812652e-01, 1.009826976967902e+04, 9.995361797873782e-01
80, 6.577586206885798e-02, 0.000000000000000e+00, -2.112128501128498e+00, 5.359663720598651e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391377665053447e+05, 2.786210468770491e-01, 9.852690282531721e+03, 9.995609694890798e-01
81, 6.741379310333448e-02, 0.000000000000000e+00, -1.986420582593530e+00, 5.359434946324090e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391371809594710e+05, 2.714394855907860e-01, 9.618595149212573e+03, 9.995796939018141e-01
82, 6.905172413781099e-02, 0.000000000000000e+00, -1.856118323318515e+00, 5.359190700053753e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391364942004136e+05, 2.645999177699321e-01, 9.395178393674923e+03, 9.995893086705080e-01
83, 7.068965517228752e-02, 0.000000000000000e+00, -1.718530864930191e+00, 5.358920961721298e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391356576925368e+05, 2.580789965203580e-01, 9.181692707428268e+03, 9.995847017400322e-01
84, 7.232758620676402e-02, 0.000000000000000e+00, -1.570020128860628e+00, 5.358608128473963e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391345860552562e+05, 2.518575673075479e-01, 8.977439159610074e+03, 9.995572531787071e-01
85, 7.396551724124054e-02, 0.000000000000000e+00, -1.404457810593580e+00, 5.358218798980829e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391331217783694e+05, 2.459267428554481e-01, 8.781768565489983e+03, 9.994924848609653e-01
86, 7.560344827571765e-02, 0.000000000000000e+00, -1.211129039734196e+00, 5.357687466181265e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391309491855178e+05, 2.403102702567921e-01, 8.594128607182582e+03, 9.993661002143692e-01
87, 7.724137931019616e-02, 0.000000000000000e+00, -9.711158657974139e-01, 5.356881698856130e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391273558735772e+05, 2.351456750531608e-01, 8.414304556277202e+03, 9.991368776849885e-01
88, 7.887931034467467e-02, 0.000000000000000e+00, -6.482277081033548e-01, 5.355527518976780e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391204691610892e+05, 2.309969985121330e-01, 8.243490493158408e+03, 9.987337745896894e-01
89, 8.051724137915317e-02, 0.000000000000000e+00, -1.722442015212945e-01, 5.353054567250420e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391045431095534e+05, 2.301453933008901e-01, 8.089080991616767e+03, 9.980322736811222e-01
90, 8.215517241363211e-02, 0.000000000000000e+00, 5.935689597066591e-01, 5.348296329969398e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.390597056054836e+05, 2.424020394418189e-01, 7.985241199088255e+03, 9.968016976241380e-01
91, 8.379310344811261e-02, 0.000000000000000e+00, 1.889088587818305e+00, 5.339031910060032e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.389183155490273e+05, 3.094275452046163e-01, 8.044793758351870e+03, 9.945578424890084e-01
92, 8.543103448259312e-02, 0.000000000000000e+00, 3.997333760316002e+00, 5.321624847140053e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.384977068231259e+05, 5.741285982828951e-01, 8.466752196444064e+03, 9.902295842807148e-01
93, 8.706896551707363e-02, 0.000000000000000e+00, 6.970260121253901e+00, 5.291428171579315e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.374749721068878e+05, 1.369399706768359e+00, 9.343420183359294e+03, 9.818874928218023e-01
94, 8.870689655155413e-02, 0.000000000000000e+00, 1.032620076583749e+01, 5.244510642476086e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.355544031409950e+05, 3.147059080235182e+00, 1.047286150050730e+04, 9.674480324526952e-01
